name,slug,quantity,price,sale_price,in_stock_sheet,in_price_sheet
"","",0,0,,false,false
" 5-piece  brush and comb set ","5-piece-professional-hair-brush-and-comb",0,0,,false,false
" Ceramic Hot Comb","ceramic-hot-comb",0,0,,false,false
" cuticle removers and trimmers","cuticle-removers-and-trimmers",0,0,,false,false
" elastic band ","roll-of-uproll-black-sewing-elastic",0,0,,false,false
" IBD Hard Gel LED/UV Builder Gel ","ibd-hard-gel-led-uv-builder-gel-2",0,0,,false,false
" Kura Avocado & Batana Blend moisturizing and detangling leave","kura-avocado-batana-blend-moisturizing-and-detangling-leave",0,0,,false,false
" Kuura Cool Feel Anti-Itch Spray.","kuura-cool-feel-anti-itch-spray",0,0,,false,false
" LNJBABAO","lnjbabao",0,0,,false,false
" Misscheering brand gel nail polish ","misscheering-brand-gel-nail-polish",0,0,,false,false
" nail wipes","non-woven-nail-wipes",0,0,,false,false
" Onyx Professional 100% Pure Acetone nail polish remover","onyx-professional-100-pure-acetone-nail-polish-remover",0,0,,false,false
" package of blue wax melts","package-of-blue-wax-melts",0,0,,false,false
" pink and stainless steel manicure hand rest pillow","pink-and-stainless-steel-manicure-hand-rest-pillow",0,0,,false,false
" professional nail art brush ","professional-nail-art-brush",0,0,,false,false
" resin nail art palette","resin-nail-art-palette",0,0,,false,false
"3D Silicon brush set","ealicere-5-pcs-dual-tipped-silicone-nail-tool-set",0,0,,false,false
"45000 RPM electric nail drill machine","45000-rpm-electric-nail-drill-machine",0,0,,false,false
"6-piece acrylic nail art brush ","6-piece-acrylic-nail-art-brush",0,0,,false,false
"6-piece nail art brush ","6-piece-nail-art-brush",0,0,,false,false
"60pcs Very Good Nail Gel-Purple","very-good-nail",0,0,,false,false
"Adore Semi-Permanent Hair Color ","adore-semi-permanent-hair-color",0,0,,false,false
"BORN PRETTY Blooming Gel","born-pretty-15ml-watercolor-nail-gel",0,0,,false,false
"Creative Image Adore Semi-Permanent Hair Color","creative-image-adore-semi-permanent-hair-color",0,0,,false,false
"Curl Keeper Moisturizing Hair Lotion ","curl-keeper-moisturizing-hair-lotion",0,0,,false,false
"Developer-40%","jiangll",0,0,,false,false
"Disposable Protective Gloves","disposable-nitrile-protective-gloves",0,0,,false,false
"Dotting pen set ","5-double-ended-nail-art-dotting-tools",0,0,,false,false
"Dreadlock Foam","dual-sided-barber-styling-sponge",0,0,,false,false
"ebin adhesive spray","e",0,0,,false,false
"Evobond Debonder AD-1, a 10ml liquid adhesive remover","evobond-debonder-ad-1-a-10ml-liquid-adhesive-remover",0,0,,false,false
"EzFlow Nail Systems","ezflow-nail-systems",0,0,,false,false
"EzFlow Nail Systems A Polymer Acrylic Powder","ezflow-nail-systems-a-polymer-acrylic-powder",0,0,,false,false
"EzFlow Q Monomer Acrylic Nail Liquid,","ezflow-q-monomer-acrylic-nail-liquid",0,0,,false,false
"foldable PU leather and stainless steel nail arm rest","foldable-pu-leather-and-stainless-steel-nail-arm-rest",0,0,,false,false
"frede","f",0,0,,false,false
"generic AY-83 LED pocket RGB video light ","generic-ay-83-led-pocket-rgb-video-light",0,0,,false,false
"generic stainless steel kidney-shaped medical tray","generic-stainless-steel-kidney-shaped-medical-tray",0,0,,false,false
"hair1","h",0,0,,false,false
"hair21","hair21",0,0,,false,false
"hair3","hair3",0,0,,false,false
"hair4","hair4",0,0,,false,false
"hair5","hair5",0,0,,false,false
"hot melt glue gun ","hot-melt-glue-gun",0,0,,false,false
"Keratin Nutrition Moisturizing Shampoo","keratin-nutrition-moisturizing",0,0,,false,false
"Lavera 4-in-1 Men's Perfume Set","lavera-4-in-1-men-s-perfume-set",0,0,,false,false
"leopard print headband","leopard-print-headband",0,0,,false,false
"MAGK branded UV gel nail polish","magk-branded-uv-gel-nail-polish",0,0,,false,false
"Mxbon Pro's Choice Brush","mxbon-pro-s-choice-brush",0,0,,false,false
"N.O.B Beauty Espresso Face Mist","n-o-b-beauty-espresso-face-mist",0,0,,false,false
"Nail Art 3-Piece Mini Powder & Liquid Set","nail-art-3-piece-mini-powder-liquid-set",0,0,,false,false
"Nail gel polish kit","nail-gel-polish-kit",0,0,,false,false
"nail manicure arm rest cushion-long leg","nail-manicure-arm-rest-cushion",0,0,,false,false
"nail manicure hand rest cushion -short leg","nail-salon-hand-rest-cushion",0,0,,false,false
"Nutrition Olive Oil hair bleaching powder","nutrition-olive-oil-hair-bleaching-powder",0,0,,false,false
"Olive Oil sheen spray","ors-olive-oil",0,0,,false,false
"olorful jumbo plastic straws","olorful-jumbo-plastic-straws",0,0,,false,false
"Original ORS Olive Oil Nourishing Sheen Spray","ors-olive-oil-nourishing-sheen-spray-2",0,0,,false,false
"ORS Olive Oil Edge Control Hair Gel","ors-olive-oil-edge-control-hair-gel",0,0,,false,false
