name,slug,quantity,price,sale_price,in_stock_sheet,in_price_sheet
"","",0,0,,false,false
" 5-piece  brush and comb set ","5-piece-professional-hair-brush-and-comb",0,0,,false,false
" Ceramic Hot Comb","ceramic-hot-comb",0,0,,false,false
" cuticle removers and trimmers","cuticle-removers-and-trimmers",0,0,,false,false
" Dxebiz brand professional acrylic system kit ","dxebiz-brand-professional-acrylic-system-kit",28,0,,true,false
" elastic band ","roll-of-uproll-black-sewing-elastic",0,0,,false,false
" IBD Hard Gel LED/UV Builder Gel ","ibd-hard-gel-led-uv-builder-gel-2",0,0,,false,false
" IKT brand hair styling wax","ikt-brand-hair-styling-wax",107,0,,true,false
" industrial sewing machine presser foot","industrial-sewing-machine-presser-foot",228,0,,false,false
" Keratin melting spray","keratin-melting-spray",111,0,,true,false
" Kura Avocado & Batana Blend moisturizing and detangling leave","kura-avocado-batana-blend-moisturizing-and-detangling-leave",0,0,,false,false
" Kuura Cool Feel Anti-Itch Spray.","kuura-cool-feel-anti-itch-spray",0,0,,false,false
" Kuura Honey and Papaya Leave-In Conditioner ","kuura-honey-and-papaya-leave-in-conditioner",54,0,,true,false
" LNJBABAO","lnjbabao",0,0,,false,false
" Luxury Protein Morocco Plant Oil Shampoo","luxury-protein-morocco-plant-oil",47,0,,true,false
" Misscheering brand gel nail polish ","misscheering-brand-gel-nail-polish",0,0,,false,false
" nail art practice finger ","nail-art-practice-finger",66,0,,true,false
" nail wipes","non-woven-nail-wipes",0,0,,false,false
" Onyx Professional 100% Pure Acetone nail polish remover","onyx-professional-100-pure-acetone-nail-polish-remover",0,0,,false,false
" package of blue wax melts","package-of-blue-wax-melts",0,0,,false,false
" pink and stainless steel manicure hand rest pillow","pink-and-stainless-steel-manicure-hand-rest-pillow",0,0,,false,false
" professional nail art brush ","professional-nail-art-brush",0,0,,false,false
" resin nail art palette","resin-nail-art-palette",0,0,,false,false
"3 in 1 Tripod","3-in-1-tripod",91,0,,true,false
"30pcs Cateye Gel","guangzhou-lanqinuo-cosmetics",0,580,,false,false
"3D Silicon brush set","ealicere-5-pcs-dual-tipped-silicone-nail-tool-set",0,0,,false,false
"45000 RPM electric nail drill machine","45000-rpm-electric-nail-drill-machine",0,0,,false,false
"6-piece acrylic nail art brush ","6-piece-acrylic-nail-art-brush",0,0,,false,false
"6-piece nail art brush ","6-piece-nail-art-brush",0,0,,false,false
"600pcs Ultra Short Tips","600pcs-ultra-short-tips",5,0,,false,false
"60pcs Soft Gel Tips","60pcs-soft-gel-tips",0,45,39,false,true
"60pcs Very Good Nail Gel-Purple","very-good-nail",0,0,,false,false
"6pcs Modeling Gel","6pcs-modeling-gel",0,100,80,false,true
"Acrylic Powder Nude Small","acrylic-powder-nude-small",0,45,40,false,true
"Adore Semi-Permanent Hair Color ","adore-semi-permanent-hair-color",0,0,,false,false
"Blend MoiKuura Avocado sturizing & Detangling Conditioner ","blend-moikuura-avocado-sturizing-detangling-conditioner",167,0,,true,false
"Blue Acrylic Brush","blue-acrylic-brush",39,0,,true,false
"Bonding Glue Big","bonding-glue-big",84,0,,true,false
"Bonding Glue Small","bonding-glue-small",7,0,,true,false
"BORN PRETTY Blooming Gel","born-pretty-15ml-watercolor-nail-gel",0,0,,false,false
"Born Pretty functional gel polish ","born-pretty-functional-gel-polish",16,0,,true,false
"BORN PRETTY nail prep dehydrator ","born-pretty-nail-prep-dehydrator",41,0,,true,false
"Bottle of Keratin Lace Tint Mousse ","bottle-of-keratin-lace-tint-mousse",5,0,,true,false
"Braiding Rack","braiding-rack",84,0,,true,false
"BTC Cuticle Softner","btc-cuticle-softner",0,20,20,false,true
"Butterfly Clips","butterfly-clips",20,0,,true,false
"Creative Image Adore Semi-Permanent Hair Color","creative-image-adore-semi-permanent-hair-color",0,0,,false,false
"Curl Keeper Moisturizing Hair Lotion ","curl-keeper-moisturizing-hair-lotion",0,0,,false,false
"Developer-40%","jiangll",0,0,,false,false
"Diamond Gel","diamond-gel",12,0,,true,false
"Disposable Frontal Wrap","disposable-frontal-wrap",93,0,,true,false
"Disposable Protective Gloves","disposable-nitrile-protective-gloves",0,0,,false,false
"Dissolving Bowl","dissolving-bowl",0,18,15,false,true
"Dodo Curler","dodo-curler",3,0,,true,false
"Dotting pen set ","5-double-ended-nail-art-dotting-tools",0,0,,false,false
"Dreadlock Foam","dual-sided-barber-styling-sponge",0,0,,false,false
"Dryer Stand","dryer-stand",31,0,,true,false
"Ebin Adhesive Big","ebin-adhesive-big",59,0,,true,false
"Ebin Adhesive Small","ebin-adhesive-small",39,0,,true,false
"Ebin Adhesive Sports Big","ebin-adhesive-sports-big",1,0,,true,false
"Ebin Adhesive Sports Medium","ebin-adhesive-sports-medium",31,0,,true,false
