name,price,discount,stock
Kuuqa Anti Itch,35,30,56
Leodais Serum,25,20,3
Wig Fix Stick,25,20,5
Foaming Wax,28,22,
Pinky Shares,50,45,
Head Band Wig Cap,25,20,
Glue Gun,35,30,1
Glue Sticks,6,6,
Drawstring Ponytail,7,6,
Ponytail Wrap,6,5,
Ear Protective Frontal Band,20,18,
Chest Band,25,20,4
Glue Remover,20,17,10
Apple Curl Keeper,18,15,
Olive Sheen,25,20,
NBI Wax Gel,25,20,
Got2b Glue,90,85,
Eunera Shampoo Big,95,89,
Eunera Conditioner Big,95,89,
Elastic Band,55,45,
Argan Mask,55,45,
Keratin Mask,55,45,
Keratin Shampoo,60,50,
Keratin Conditioner,60,50,
Magnetic Band,35,29,
Spiral Rods,22,18,
Wide Knife Comb,5,5,
Dread Foam,28,22,
Olive Bleach Powder,45,40,
Silicon Mix Shampoo Big,195,170,
Silicon Mix Shampoo Medium,120,100,
Silicon Mix Shampoo Small,85,75,
6pcs Relaxer Set,140,130,
10pcs Relaxer Set,165,135,
15pcs Relaxer Set,175,165,
ORS Twist Gel,75,65,
ORS Olive Sheen Big,78,68,
ORS Olive Sheen Small,38,25,
Adore Dye,85,79,
ORS Mousse Wrap,75,65,
Olive Oil Edge Control,25,20,
Tresseme Shampoo Big,120,110,
Tresseme Shampoo Small,95,80,
Tresseme Conditioner Small,95,80,
Olive Oil Shampoo,60,50,
Olive Oil Conditioner,60,50,
ORS Mayonnaise Big,150,130,
ORS Mayonnaise Small,130,110,
Tripod Stand Mini,60,50,
Tripod Stand,160,135,
Extreme Sewing Machine,1250,1150,
