name,stock,slug
,466,drawstring-ponytail
,68,glue-gun
,212,glue-sticks
,11,glue-remover
,4,chest-band
,185,apple-curl-keeper
,32,got2b-glue
,20,42pcs-very-good-gel
,1,44pcs-very-good-gel
:,24,6pcs-very-good-gel-polish
,10,60pcs-very-good-gel-professional
,24,60pcs-very-good-purple
:,2,30pcs-cat-eye-gel
,43,beginners-set-with-case
,17,beginners-set-with-gel-polish
:,6,2-in-1-uv-lamp
:,9,single-hand-uv-lamp
:,21,rechargeable-drill-2
:,11,rechargeable-drill-3
,81,acrylic-nail-art
:,177,dust-brush
,21,acrylic-powder
,24,acrylic-powder-nude-big
:,29,acrylic-brush-set
,10,bbl-professional-hot-pressing-comb
,25,baroel-32mm-ceramic-curling-tong
,16,hot-air-brush
,30,perfume-gift-set
,17,silicon-heat-mat
,24,oucheless-band
,49,canvas-block-head-mannequin
:,176,trimmer-set
,84,desk-lamp
,65,10-pieces-comb-set
,4,detangling-brush
,19,polymer-wig-block-mannequin-head-designed
:,145,applicator-bottle
,17,extreme-sewing-machine
,5,rubbing-alcohol
,37,organ-needles
,47,thread-clippers
,68,metallic-bobbin
,19,plastic-bobbins
,209,razor-comb
,112,nova-hand-dryer
,13,long-neck-mannequin
,125,snap-on-rollers
,26,kuura-beauty-moisture-seal-conditioner
,1,j
,47,kuura-honey-and-papaya-leave-in-conditioner
,24,silicone-hair-scalp-massager-and-shampoo-brush
,162,minkin-avocado-hair-styling-gel
,51,oligei-heat-resistant-gloves
,21,hair-bonnet
,47,home-services-bag-big
,128,head-band-wig-cap
,37,olive-sheen
:,4,rosaline-dehydrator-primer
,19,stainless-steel-pallet
:,55,resin-pallet
:,78,cat-eye-magnet
:,111,rhinestone-picker
:,85,dotting-pen
:,76,3d-silicon-brush
,25,6pcs-blue-brush-set
:,85,15pcs-brush-set
,48,high-quality-dust-brush
,15,wooden-arm-rest-short
,57,wooden-arm-rest-long
:,33,blooming-gel
,45,bun-pretty-dehydrator-bonder
:,38,stainless-dappen-dish
,20,gloves
,75,nail-practice-hand
:,15,dust-collector
,53,eyelash-mannequin-big
,186,eyelash-mannequin-medium
,6,eyelash-mannequin-small
,3,acetone-big
,186,acetone-small
,21,magic-primer
,1,magic-top-coat
,19,magic-base-coat
,1,mushering-top-base-coat
:,20,ibd-builder-gel
,1,buffer-set
,1,buffer-single
:,19,rosaline-base-coat
:,43,flowers-charms
:,84,nails-stones
:,165,nails-charms
:,53,chrome
:,292,nail-glue
:,175,rhinestone-glue
:,34,spider-gel
:,4,debonder
,40,nails-finger-spas
:,25,cutters
:,85,nippers
:,17,dissolving-finger-bowl
,1,foldable-arm-rest
,80,stainless-steel-pinking
